Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,0.5302196439632965,-1.0244968685276006,0.8878377018794656,1.0202844171824763,0.38205908441806236,1.0325017015004414,0.3494846468799944,0.5194768900343898,0.22200603442922048,-0.6927119582651466,0.8020671796740199,1.2045529144914795,-0.5003299286838164
1,Slytherin,Erich,Paredes,1999-10-14,Right,1.0668368953166565,-1.1490914958647729,-1.3800040115187553,1.1446048822173898,-2.1357796593810705,-0.5462674607312973,-1.2175907243523132,0.2620504372238274,0.6608327795040049,0.4163861509762295,0.15126866420254337,-1.0029829446394334,-1.3869281014727535
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,-1.5715262071306881,-0.7880028359645489,1.2746000692969872,0.7843107742206761,0.7275492468631145,1.8492661085592987,1.0163801348286463,0.13570849795647455,1.328448757520774,0.8909535743153193,-0.481532158125753,1.825184005582148,0.08667262772253728
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,-1.0282429029654852,1.277401412836298,-1.4786904428130976,-1.2765486880508568,0.21248140242810706,-0.6495134655211166,0.2686013108661994,-1.780343438423097,-2.5130989672892743,-1.6446948324450659,0.04106080092795737,-1.53379933349555,1.8301654762915396
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,0.6377248956742915,0.7707328551256382,-1.7348899343400201,0.0,-0.22364510728743842,-0.45670680067832514,0.9853593120631782,-1.4676307420155816,-2.1226769985039136,-0.5257248225646174,-0.2195960450140159,-1.4814918611395296,1.3932167927058643
5,Slytherin,Corrine,Hammond,1999-04-04,Right,-1.722603204039093,-1.2687396314171886,-1.0512389261853496,1.2639897398981574,-2.3745528322979617,-0.44991910398030693,-0.9470169379934189,0.5536574736204002,0.5211089966821131,1.8603255871084408,1.1502164428421966,-0.5204085153787904,-0.5802220930525053
6,Gryffindor,Tom,Guido,2000-09-30,Left,-0.028334981189037767,1.1420851707295938,-1.1621236667388661,-1.1415302004562202,-1.0820060172862697e-16,-1.4601108210181204,0.837121698604043,-2.3559114777902,-2.440982734802184,-1.3801961960508786,0.21522381206851177,-1.6462492988791375,2.454041339329596
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,-1.0074569382885565,0.7214916112475633,0.9274562775401469,-0.721862129504854,-0.09378173875202737,-0.5767892957644488,-0.5365198304633654,-1.01718596493468e-16,0.25186974462825634,0.20249547687777153,-0.12330453965740625,-0.07519786749266599,0.51511996561257
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,-1.7790222510193279,0.8864845721584785,-1.2306382723287206,-0.8864920342311916,0.6581101098413658,-0.835692837954938,0.685859138953239,-2.098499412312782,-2.401674817516092,-1.5598354240577057,1.25148260319727,-1.0133840996605379,2.2754106538693484
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,-0.20110694997598633,0.9462801262497745,1.3127739885126517,-0.9461560121291566,0.04923851890329404,-0.3607374669451909,-1.4676460965096296,0.4616544394969324,0.25926274092089147,-1.2448103669331638,-0.49638956370968834,-0.13671564459044236,-0.22582864598114188
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,-0.8493502856876625,1.0972130535867872,0.8407967784387449,-1.096756821462932,0.5370180007192281,-0.6366125768669779,-0.10346045964967686,0.6268085985931002,0.1417621621685889,1.0720207666294794,-0.4619608734286025,0.07772734562628536,0.4368666148719568
11,Hufflepuff,Neville,Hall,2001-02-16,Left,-0.18692643763079306,0.7741921147210905,0.8091117650546809,-0.774446668978397,-0.03408844552280474,-0.6111752289195536,-0.7485467992883251,0.4210720767794063,0.38175683671823224,0.13680798437839747,-0.9030288087698434,-0.17521562919515732,-0.013295003590078545
12,Hufflepuff,Rocky,Trask,2000-03-13,Right,-1.3930577932136192,1.2994409401472036,0.10925662182382324,-1.2985397188280243,0.959256683030424,-0.21647531811292609,-0.5731389079679545,0.7644665935882324,0.15878165208218487,0.6926791111010095,-0.9233635597399028,-0.07163556297634863,-0.14747286938877396
13,Slytherin,Fred,Simms,1997-02-27,Left,-0.7060301502330384,-1.1338148851018688,-1.6358166318851788,1.1293618866341042,-2.274170641234942,-0.1982503417706219,-0.9902920714753911,-0.01107747861539273,1.2022975299528627,1.6029896036641607,1.9049814210516203,-0.882407646135707,-1.0486155131268824
14,Ravenclaw,Jan,Saylor,1998-03-16,Right,-0.29352268214017313,-0.4607653733097987,0.3100208384325965,0.4577933761310218,0.8403573887616048,1.5633216276470898,1.0449707456531931,0.5765192602098641,0.7656988607079932,1.1086934678296192,-1.104242835050912,1.2198552267330136,-0.4291439617142796
15,Ravenclaw,Long,Burks,2001-10-03,Left,-1.6970904019137667,-0.946378150503237,0.5625177341617188,0.9423375942714162,0.43736674794064817,2.151268554978188,1.1395380217652413,0.15813604987574287,1.04818473929819,1.177777028015124,0.6468971934455822,1.5929750319914773,-0.050782865332309475
16,Gryffindor,Fran,Jorgensen,1997-09-23,Left,-0.46829446677067454,0.8365080596906899,-1.289174759485858,-0.8366254917999115,0.3096961942585555,-0.4359803506128918,0.959536049133046,-1.6319617798923982,-1.4402756722323338,-0.2959921490291711,-1.128541404459471,-1.013137049459182,1.5600685052143186
17,Gryffindor,Freddie,Ward,2001-05-31,Left,0.5551870417676538,1.1870361283468343,-1.1541466902495041,-1.1863822464406526,0.2931282598112611,-0.5066497380586242,1.2426797810459242,-1.8712843716063783,-2.1651806902471264,-0.9259125154491622,0.23669179759640832,-1.3148138073184248,1.9503110003998374
18,Ravenclaw,Tyrone,Cooley,2000-03-09,Right,-2.063844507525346,-0.3706038518010255,1.1094364384268542,0.3678302491344383,1.1578282503031447,1.808837072112896,1.0625906827774214,0.7683139772648113,1.3964040176373145,1.8467168220283205,0.32732890066394216,1.8904974756353095,-0.10998500764654302
19,Hufflepuff,Elden,Scholl,1999-04-18,Right,0.4408339358044928,0.8121874147672319,1.1306793702572904,-0.8123583628598244,0.6169339198179427,-0.7382205613401902,-0.8792259287598662,0.2983867940088373,0.5025554079792742,-0.7997774768772467,0.1288875174161171,0.04273501848873571,-0.18588256379679746
20,Gryffindor,Mel,Marion,1998-12-20,Left,0.0,1.288682960964074,-0.9678051952539763,-1.2878054118722095,0.6607902168843105,-0.43381211071363646,1.0938890192841182,-1.8307084646959715,-1.950006621669224,-0.934672725467885,0.22510618090969922,-1.0646009079939864,1.9792975164464255
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,-1.0758142798500008,1.2611187001813549,-1.3365839556530463,-1.2603018044367313,0.6793073200901101,0.4325855612604525,0.0,-1.1309434709023316,-1.580266454855332,-0.4869530880552926,1.6849014409715262,-0.8931093599271219,1.1772006713551402
22,Ravenclaw,Joseph,Coulter,2001-08-22,Left,-0.591555843309662,-0.5911390144736116,0.9309640303488791,0.5878801386518364,0.8954214061893776,2.0167783184961023,1.2469650244238044,0.44060926230200914,1.132841104127943,1.0800275378281883,0.43557286030374487,1.6599973608106957,-0.24252405981716274
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,-0.28164498803907106,1.2296876974309718,-0.19543035400727524,-1.2289399635455756,1.5269520839450725,-1.008552827503474,-0.32203845694929495,-0.556882590766843,0.9962152956467069,0.12688593684455224,1.877754431439678,-0.27964044771537305,0.01538423490124567
24,Ravenclaw,Esther,Li,2001-08-02,Left,1.812101599680702,-1.0698121584327098,1.32070695516546,1.0654999937654834,0.6371565456874345,1.3396160879353072,1.5926253518556106,0.9451774987565751,0.12204889134211308,0.42911355487049135,0.30178336256866195,1.6547273360085188,-0.2904593584383761
25,Hufflepuff,Lucio,Wray,1999-01-21,Left,-0.18965345923563792,0.9093287314944619,0.9625566657278787,-0.9092859264934613,0.03169600007674683,-0.33881195688098065,-0.8412462781699115,0.4990930343048426,0.1599755171640491,-0.26977804576487374,1.4422656613384732,-0.14655325191721072,-0.02251333024800417
26,Slytherin,Araceli,Flint,1998-03-01,Left,1.0066606185697466,-0.8907974237607548,-1.50928069797785,0.8868791692712374,-2.231776220737453,-0.20256016611428504,-0.8288022614258075,0.4294234377244044,0.2255617230323412,0.8943235559294643,0.07945898593727722,-1.1012611086107287,-1.1614888017605942
27,Hufflepuff,Georgianna,Wooten,2000-01-18,Right,-1.008608347410602,1.112083137459571,0.5856726467927467,-1.1115941846918445,0.484390444239587,-0.632482850514016,-0.386557895206263,-0.24808320047500887,0.4052800285585544,0.23100487552323148,0.6860137796079262,-0.20104091383818398,0.5555781770556881
28,Gryffindor,Mimi,Baird,1997-05-22,Left,-0.5595587898128157,0.3826535927395497,-1.203895636878418,-0.38376970182392844,0.5757577297945198,-0.6656421532136066,1.030755696451319,-1.8137121231253244,-1.195785011698879,-0.5045384963645598,-1.5612723777253608,-0.6846194826269166,1.5476749771519964
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,-0.04863614202510503,0.8126048601291481,0.42411184258870915,-0.8127748896606121,0.6432476980577632,-0.2755852122313919,-1.6016984267750114,1.2856268515115963,0.48673978750336,-0.60783949839736,0.28268907869149773,-0.0406108393029639,-1.2497798859731708
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,-0.03942486904874018,1.0877917084180617,0.4498092529703652,-1.087356207346074,0.9080910031196617,-0.9437435558178039,-1.0323152738199546,0.624004949951927,0.8967389998447008,0.1602023063893496,2.0904747474303083,-0.14173975767145752,-0.5991708756271302
31,Gryffindor,Kermit,Craft,2000-11-18,Left,0.5137363133740119,0.9213286544105561,-0.7691498909988261,-0.9212594443665458,0.633501854265237,-0.9575636950166742,1.167224906533959,-2.282951394811239,-1.6723940661791155,-1.3527538116407913,0.42953492399068005,-1.0202434428087586,2.067383748955493
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,0.4014436237345116,-0.6625960346378997,0.6445748436481179,0.6591799223318595,0.8262259152624419,2.311090886225939,1.4731169350202984,0.6334277642380314,1.0307744043611147,1.154576792096038,-1.1927589754059273,1.562514994492613,-0.5840118495674304
33,Hufflepuff,Julie,Connolly,1998-05-29,Right,0.2934535681826553,0.7256896330471667,0.7291624129884574,-0.726050913832938,0.025604847706418004,-0.2879600627381701,-1.616636686914907,0.3758660200367981,0.5041587516757797,-1.392345128742489,0.5293766195107898,-0.3107129875567642,-0.7253595249889567
34,Ravenclaw,Granville,Mulligan,2001-05-08,Right,1.3049967821397739,-1.5654643693102426,0.7442489863768358,1.560061554474881,-1.0820060172862697e-16,1.8611558815130465,0.873218147321121,0.11903716877818177,0.28637791146195607,-1.124840315785206,0.0,1.4292331185818685,-0.6148420309456039
35,Ravenclaw,Hannah,Canady,1998-11-06,Right,-0.31418744585688635,-0.6189466909133619,1.172593009440652,0.6156266261241637,0.9314810282217245,0.9902528560025629,0.8740371308763218,-0.11600057385942354,0.38344200661404826,-0.405761731126453,0.063048930758532,1.385332183953061,0.2963383462644682
36,Hufflepuff,Lucien,Burt,1998-06-03,Right,-0.3892108402301737,1.0278623314910706,1.0836530277205618,-1.0275587010807834,0.48414679814477374,-0.3313209455806684,-1.1102644425490067,-0.045433334732612504,0.19088640153539246,-1.4029680632935828,1.767703650160415,-0.11148578508708509,0.09169149445851901
37,Hufflepuff,Julia,Montez,2001-05-04,Right,0.6237261847694212,0.6689942584179328,1.074404714508947,-0.669480293655545,0.8437684340889892,-1.0200397519265656,-0.3747677897420614,0.43167948422663543,0.5410400617297529,-0.060945840764305086,1.198232493172002,0.229465123906461,-0.06594189139200943
